Level,Method,ARI,NMI,Silhouette,N_Clusters
easy,leiden,0.013150229909150539,0.03979299447641127,0.012162693158200528,8
easy,louvain,0.017848131290437066,0.04228811780051135,-0.08112399035253699,6
easy,kmeans,-0.0003800395784158878,0.011725086657541113,0.3116653856581309,4
medium,leiden,0.02252740917008897,0.05550088380423124,0.08248480463460242,10
medium,louvain,0.036101410992230853,0.05816319756886592,0.049526976078108846,7
medium,kmeans,-0.0007685057776364879,0.011260153238310795,0.9270551391784915,4
hard,leiden,0.013831633750594546,0.030505914963909607,0.12744638752277196,13
hard,louvain,0.015995222133358494,0.032710478204905885,0.1312600395127466,9
hard,kmeans,0.019348985852428918,0.02656320627076151,0.19931002510131127,4
