Dataset,Method,ARI,NMI,Silhouette,N_Clusters
Optimized_Easy,leiden,0.23322725642433365,0.37577434538119986,-0.08485832331197653,12
Optimized_Easy,louvain,0.2560789461421701,0.36176713643471853,-0.14818666214709436,7
Optimized_Easy,kmeans,0.007916370892163679,0.1297099504602557,0.811697630896914,4
Optimized_Medium,leiden,0.38826031121482324,0.6263763760521125,0.386148956410011,11
Optimized_Medium,louvain,0.42577658750671826,0.635033953998405,0.39905904952575233,9
Optimized_Medium,kmeans,0.3830084898313424,0.48931616655878485,0.363563300556061,4
Optimized_Hard,leiden,0.022453197115425347,0.04103480141504785,0.0169358344045805,14
Optimized_Hard,louvain,0.018361668711500398,0.029654002287213935,-0.020823139056913822,10
Optimized_Hard,kmeans,-0.00016026924183523453,0.0019258577571507774,0.18301905833139315,4
